Northern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191302,-1.04
191303,-0.85
191304,-0.50
191305,-0.53
191306,-0.42
191307,-0.36
191308,-0.18
191309,-0.26
191310,-0.44
191311,0.19
191312,0.60
191401,1.09
191402,0.06
191403,-0.24
191404,-0.42
191405,0.10
191406,-0.03
191407,-0.32
191408,-0.36
191409,-0.26
191410,-0.19
191411,-0.31
191412,-0.33
191501,-0.32
191502,0.01
191503,-0.27
191504,0.22
191505,0.09
191506,-0.19
191507,-0.05
191508,-0.19
191509,-0.33
191510,-0.61
191511,0.25
191512,0.11
191601,-0.15
191602,-0.31
191603,-0.69
191604,-0.35
191605,-0.39
191606,-0.53
191607,-0.22
191608,-0.39
191609,-0.51
191610,-0.42
191611,-0.51
191612,-1.36
191701,-0.49
191702,-0.83
191703,-1.05
191704,-0.56
191705,-0.79
191706,-0.50
191707,-0.20
191708,-0.23
191709,-0.21
191710,-0.76
191711,0.08
191712,-1.60
191801,-0.53
191802,-0.56
191803,-0.33
191804,-0.83
191805,-0.83
191806,-0.55
191807,-0.38
191808,-0.43
191809,-0.22
191810,0.04
191811,-0.46
191812,-1.16
191901,-0.86
191902,-0.23
191903,-0.70
191904,-0.01
191905,-0.64
191906,-0.39
191907,-0.09
191908,-0.08
191909,-0.06
191910,-0.28
191911,-0.86
191912,-0.79
192001,-0.01
192002,-0.77
192003,0.08
192004,-0.22
192005,-0.10
192006,-0.36
192007,-0.12
192008,-0.28
192009,-0.37
192010,-0.48
192011,-0.67
192012,-1.32
192101,0.45
192102,-0.11
192103,-0.14
192104,-0.08
192105,-0.26
192106,0.05
192107,0.10
192108,-0.39
192109,-0.19
192110,-0.11
192111,-0.40
192112,0.04
192201,-0.81
192202,-0.89
192203,-0.07
192204,-0.05
192205,-0.20
192206,0.03
192207,-0.10
192208,-0.27
192209,-0.43
192210,-0.31
192211,-0.02
192212,-0.11
192301,-0.04
192302,-1.01
192303,-0.58
192304,-1.01
192305,-0.45
192306,-0.19
192307,-0.30
192308,-0.31
192309,-0.19
192310,0.10
192311,0.35
192312,0.21
192401,-0.58
192402,-0.25
192403,0.00
192404,-0.39
192405,-0.18
192406,-0.13
192407,-0.09
192408,-0.12
192409,-0.06
192410,-0.14
192411,0.32
192412,-0.37
192501,-0.39
192502,-0.56
192503,-0.04
192504,0.13
192505,-0.15
192506,-0.29
192507,-0.18
192508,-0.12
192509,0.12
192510,-0.25
192511,0.34
192512,0.67
192601,0.73
192602,0.38
192603,0.48
192604,-0.48
192605,-0.22
192606,-0.17
192607,-0.29
192608,-0.05
192609,-0.10
192610,0.08
192611,0.11
192612,-0.49
192701,-0.68
192702,-0.36
192703,-0.74
192704,-0.43
192705,-0.17
192706,-0.09
192707,0.07
192708,-0.21
192709,0.24
192710,0.48
192711,0.03
192712,-0.80
192801,0.19
192802,-0.15
192803,-0.64
192804,-0.55
192805,-0.08
192806,-0.35
192807,-0.10
192808,-0.19
192809,-0.12
192810,-0.03
192811,0.19
192812,0.03
192901,-1.31
192902,-1.70
192903,-0.14
192904,-0.34
192905,-0.28
192906,-0.53
192907,-0.43
192908,-0.21
192909,-0.28
192910,0.07
192911,0.06
192912,-1.62
193001,-0.73
193002,-0.29
193003,0.35
193004,-0.35
193005,-0.28
193006,-0.21
193007,0.05
193008,0.12
193009,-0.28
193010,-0.12
193011,0.49
193012,0.04
193101,-0.03
193102,-0.95
193103,-0.03
193104,-0.27
193105,-0.37
193106,0.20
193107,0.30
193108,0.31
193109,0.40
193110,0.63
193111,0.20
193112,0.16
193201,1.02
193202,-0.48
193203,-0.59
193204,0.36
193205,-0.18
193206,-0.11
193207,0.00
193208,-0.08
193209,0.28
193210,0.32
193211,-0.40
193212,-0.37
193301,-0.77
193302,-0.99
193303,-0.67
193304,-0.44
193305,-0.37
193306,-0.34
193307,-0.02
193308,-0.10
193309,-0.29
193310,-0.17
193311,-0.02
193312,-0.77
193401,-0.44
193402,0.76
193403,-0.60
193404,-0.47
193405,0.26
193406,-0.09
193407,-0.05
193408,-0.06
193409,-0.43
193410,0.20
193411,0.53
193412,0.27
193501,-0.73
193502,1.36
193503,0.06
193504,-0.68
193505,-0.42
193506,-0.15
193507,-0.01
193508,0.02
193509,0.01
193510,0.15
193511,-1.05
193512,-0.47
193601,-0.76
193602,-1.05
193603,-0.31
193604,-0.39
193605,-0.03
193606,-0.03
193607,0.28
193608,-0.03
193609,-0.01
193610,0.12
193611,0.24
193612,0.35
193701,-0.56
193702,0.25
193703,-0.68
193704,-0.33
193705,0.15
193706,0.27
193707,0.09
193708,0.13
193709,0.47
193710,0.43
193711,0.12
193712,-0.37
193801,0.28
193802,0.26
193803,0.39
193804,0.72
193805,0.13
193806,-0.15
193807,0.07
193808,0.25
193809,0.38
193810,0.40
193811,0.53
193812,-0.43
193901,0.19
193902,0.13
193903,-0.37
193904,-0.09
193905,0.10
193906,0.07
193907,0.15
193908,0.16
193909,0.08
193910,-0.16
193911,0.27
193912,1.78
194001,-0.64
194002,0.18
194003,0.07
194004,0.40
194005,-0.02
194006,0.02
194007,0.11
194008,-0.06
194009,0.25
194010,0.10
194011,0.07
194012,0.40
194101,0.14
194102,0.38
194103,0.04
194104,0.07
194105,0.12
194106,0.22
194107,0.22
194108,0.16
194109,-0.15
194110,0.31
194111,-0.26
194112,-0.19
194201,0.31
194202,-0.48
194203,-0.03
194204,0.00
194205,-0.04
194206,0.23
194207,-0.01
194208,-0.18
194209,0.03
194210,0.33
194211,0.34
194212,0.22
194301,-0.51
194302,0.44
194303,-0.20
194304,0.41
194305,0.32
194306,-0.26
194307,0.01
194308,0.11
194309,0.08
194310,0.51
194311,0.25
194312,0.81
194401,1.06
194402,0.53
194403,0.53
194404,0.12
194405,0.26
194406,0.11
194407,0.12
194408,0.04
194409,0.35
194410,0.40
194411,-0.23
194412,-0.47
194501,-0.27
194502,-0.86
194503,-0.19
194504,0.19
194505,-0.08
194506,-0.06
194507,-0.11
194508,0.31
194509,0.11
194510,0.26
194511,-0.02
194512,-0.73
194601,0.45
194602,0.40
194603,-0.03
194604,0.68
194605,-0.08
194606,-0.12
194607,0.02
194608,-0.02
194609,-0.11
194610,0.01
194611,0.03
194612,-0.94
194701,-0.56
194702,-0.28
194703,0.51
194704,0.39
194705,-0.04
194706,-0.12
194707,0.01
194708,-0.03
194709,0.17
194710,0.76
194711,0.23
194712,-0.06
194801,0.92
194802,-0.05
194803,-0.32
194804,0.16
194805,0.31
194806,0.15
194807,0.02
194808,0.08
194809,0.09
194810,0.19
194811,0.15
194812,-0.32
194901,0.67
194902,-0.38
194903,-0.16
194904,0.16
194905,0.22
194906,-0.19
194907,-0.22
194908,-0.01
194909,-0.16
194910,0.17
194911,0.13
194912,-0.47
195001,-0.98
195002,-0.58
195003,-0.09
195004,-0.40
195005,-0.05
195006,-0.13
195007,-0.40
195008,-0.48
195009,-0.12
195010,-0.12
195011,-1.00
195012,-0.13
195101,-0.64
195102,-1.19
195103,-0.39
195104,0.04
195105,0.25
195106,-0.20
195107,0.02
195108,0.22
195109,0.38
195110,0.22
195111,-0.07
195112,0.84
195201,0.28
195202,0.06
195203,-0.56
195204,0.11
195205,0.03
195206,0.16
195207,0.19
195208,0.05
195209,0.25
195210,-0.30
195211,-0.87
195212,-0.16
195301,0.29
195302,0.59
195303,0.55
195304,0.40
195305,0.24
195306,0.25
195307,0.25
195308,0.18
195309,0.19
195310,0.31
195311,-0.33
195312,0.35
195401,-0.87
195402,-0.21
195403,-0.29
195404,-0.33
195405,-0.38
195406,0.06
195407,-0.04
195408,0.08
195409,0.15
195410,0.17
195411,0.59
195412,-0.29
195501,0.94
195502,-0.04
195503,-0.86
195504,-0.49
195505,0.05
195506,0.02
195507,-0.05
195508,0.22
195509,0.01
195510,0.28
195511,-0.29
195512,-0.44
195601,-0.33
195602,-0.78
195603,-0.51
195604,-0.52
195605,-0.33
195606,-0.09
195607,-0.27
195608,-0.35
195609,-0.38
195610,-0.37
195611,-0.36
195612,-0.39
195701,-0.40
195702,-0.39
195703,-0.41
195704,-0.41
195705,-0.24
195706,0.02
195707,-0.13
195708,0.03
195709,0.19
195710,-0.17
195711,0.14
195712,0.76
195801,0.98
195802,0.41
195803,0.04
195804,-0.06
195805,0.05
195806,-0.17
195807,-0.13
195808,0.06
195809,-0.13
195810,-0.03
195811,0.14
195812,0.40
195901,0.31
195902,0.01
195903,0.70
195904,0.26
195905,-0.12
195906,0.18
195907,-0.04
195908,0.07
195909,0.15
195910,-0.29
195911,-0.55
195912,0.02
196001,0.03
196002,0.93
196003,-0.97
196004,-0.25
196005,-0.32
196006,0.26
196007,-0.07
196008,0.07
196009,0.13
196010,-0.05
196011,-0.28
196012,0.84
196101,0.38
196102,0.55
196103,0.48
196104,0.12
196105,0.18
196106,0.20
196107,-0.03
196108,-0.03
196109,-0.14
196110,-0.47
196111,0.05
196112,-0.22
196201,0.54
196202,0.67
196203,0.43
196204,0.29
196205,0.18
196206,-0.28
196207,0.07
196208,-0.05
196209,-0.07
196210,0.24
196211,0.11
196212,0.45
196301,0.30
196302,1.27
196303,0.02
196304,-0.20
196305,-0.22
196306,-0.12
196307,0.17
196308,0.20
196309,0.32
196310,0.73
196311,0.68
196312,0.15
196401,0.13
196402,-0.31
196403,-0.48
196404,-0.53
196405,-0.11
196406,-0.10
196407,-0.11
196408,-0.25
196409,-0.36
196410,-0.44
196411,-0.06
196412,-0.25
196501,0.21
196502,-0.68
196503,-0.03
196504,-0.49
196505,-0.14
196506,-0.24
196507,-0.15
196508,-0.34
196509,-0.27
196510,0.17
196511,-0.34
196512,0.05
196601,-0.28
196602,0.01
196603,0.12
196604,-0.43
196605,-0.04
196606,0.09
196607,0.17
196608,0.25
196609,0.21
196610,-0.10
196611,-0.26
196612,-0.59
196701,-0.30
196702,-0.47
196703,0.27
196704,0.09
196705,0.25
196706,-0.18
196707,-0.07
196708,-0.11
196709,-0.15
196710,0.54
196711,0.12
196712,0.18
196801,-0.49
196802,-0.06
196803,1.25
196804,0.07
196805,-0.07
196806,-0.24
196807,-0.23
196808,-0.23
196809,-0.19
196810,-0.19
196811,-0.33
196812,-0.61
196901,-1.62
196902,-1.35
196903,-0.18
196904,0.00
196905,-0.11
196906,-0.14
196907,-0.02
196908,-0.05
196909,-0.09
196910,-0.14
196911,0.46
196912,0.63
197001,0.01
197002,0.61
197003,-0.27
197004,0.11
197005,-0.05
197006,0.05
197007,0.09
197008,0.01
197009,-0.05
197010,-0.39
197011,0.01
197012,-0.34
197101,0.17
197102,-0.45
197103,-0.26
197104,-0.14
197105,-0.01
197106,-0.04
197107,-0.15
197108,-0.07
197109,0.06
197110,0.02
197111,0.66
197112,0.27
197201,-1.16
197202,-1.00
197203,0.09
197204,0.07
197205,-0.21
197206,-0.08
197207,-0.14
197208,-0.03
197209,-0.46
197210,-0.18
197211,-0.42
197212,-0.10
197301,0.09
197302,0.93
197303,0.82
197304,0.45
197305,0.31
197306,0.39
197307,0.16
197308,0.18
197309,0.05
197310,0.04
197311,0.07
197312,0.50
197401,-0.75
197402,-0.70
197403,0.18
197404,0.19
197405,-0.08
197406,-0.07
197407,0.01
197408,-0.09
197409,-0.10
197410,-0.34
197411,-0.21
197412,-0.32
197501,0.60
197502,0.20
197503,0.63
197504,0.40
197505,0.23
197506,0.15
197507,0.05
197508,-0.07
197509,0.19
197510,-0.03
197511,-0.19
197512,0.16
197601,0.55
197602,-0.15
197603,-0.76
197604,0.26
197605,-0.13
197606,-0.24
197607,-0.34
197608,-0.21
197609,0.02
197610,-1.02
197611,-0.54
197612,-0.33
197701,-0.78
197702,0.34
197703,0.87
197704,0.72
197705,0.55
197706,0.51
197707,0.11
197708,-0.05
197709,0.16
197710,-0.26
197711,0.66
197712,-0.01
197801,0.22
197802,0.17
197803,0.50
197804,0.41
197805,-0.04
197806,-0.13
197807,-0.26
197808,-0.30
197809,0.04
197810,0.08
197811,0.42
197812,0.07
197901,-0.22
197902,-0.32
197903,0.32
197904,-0.38
197905,0.13
197906,0.12
197907,0.06
197908,-0.03
197909,0.24
197910,0.33
197911,0.22
197912,1.17
198001,0.14
198002,0.48
198003,-0.25
198004,0.36
198005,0.40
198006,0.27
198007,0.19
198008,0.13
198009,0.15
198010,0.23
198011,0.77
198012,0.39
198101,1.56
198102,1.16
198103,1.32
198104,0.76
198105,0.25
198106,0.42
198107,0.20
198108,0.34
198109,0.14
198110,0.12
198111,0.34
198112,1.12
198201,-0.29
198202,0.15
198203,-0.23
198204,0.41
198205,0.10
198206,-0.03
198207,0.16
198208,-0.05
198209,0.22
198210,-0.07
198211,-0.40
198212,0.77
198301,0.95
198302,0.79
198303,0.58
198304,0.08
198305,0.12
198306,0.13
198307,0.39
198308,0.60
198309,0.46
198310,0.23
198311,1.27
198312,0.31
198401,0.51
198402,-0.13
198403,0.55
198404,0.08
198405,0.60
198406,0.11
198407,0.00
198408,0.18
198409,-0.15
198410,-0.08
198411,-0.35
198412,-1.03
198501,0.29
198502,-0.61
198503,0.17
198504,0.32
198505,0.27
198506,0.10
198507,-0.20
198508,0.10
198509,-0.12
198510,-0.04
198511,-0.13
198512,0.23
198601,0.95
198602,0.58
198603,0.68
198604,0.48
198605,0.29
198606,0.26
198607,-0.02
198608,0.10
198609,-0.04
198610,0.10
198611,-0.14
198612,0.09
198701,0.46
198702,1.41
198703,-0.01
198704,0.09
198705,0.42
198706,0.17
198707,0.40
198708,0.36
198709,0.51
198710,0.02
198711,-0.17
198712,1.07
198801,0.81
198802,0.33
198803,0.72
198804,0.77
198805,0.59
198806,0.74
198807,0.65
198808,0.39
198809,0.49
198810,0.39
198811,0.48
198812,1.11
198901,0.26
198902,0.57
198903,0.87
198904,0.37
198905,0.42
198906,0.23
198907,0.39
198908,0.27
198909,0.28
198910,0.41
198911,0.15
198912,0.84
199001,0.61
199002,0.78
199003,2.07
199004,0.88
199005,0.61
199006,0.66
199007,0.23
199008,0.44
199009,0.45
199010,0.58
199011,0.80
199012,0.72
199101,0.82
199102,0.93
199103,0.39
199104,0.92
199105,0.38
199106,0.64
199107,0.49
199108,0.42
199109,0.47
199110,0.41
199111,0.42
199112,0.28
199201,1.23
199202,0.92
199203,0.72
199204,0.12
199205,0.15
199206,-0.11
199207,-0.31
199208,-0.12
199209,-0.40
199210,-0.20
199211,-0.11
199212,0.57
199301,0.79
199302,0.95
199303,0.95
199304,0.28
199305,0.33
199306,0.28
199307,0.16
199308,0.14
199309,-0.09
199310,0.18
199311,-0.60
199312,0.63
199401,0.53
199402,-0.43
199403,0.96
199404,0.67
199405,0.67
199406,0.68
199407,0.35
199408,0.37
199409,0.40
199410,0.74
199411,0.79
199412,0.42
199501,1.24
199502,2.06
199503,1.01
199504,0.79
199505,0.53
199506,0.83
199507,0.43
199508,0.80
199509,0.60
199510,0.87
199511,0.82
199512,0.60
199601,0.15
199602,0.95
199603,0.28
199604,-0.02
199605,0.59
199606,0.32
199607,0.49
199608,0.19
199609,-0.02
199610,-0.05
199611,0.27
199612,0.61
199701,0.65
199702,0.93
199703,1.06
199704,0.78
199705,0.49
199706,0.63
199707,0.45
199708,0.60
199709,0.64
199710,0.84
199711,0.51
199712,0.68
199801,0.68
199802,1.92
199803,0.87
199804,1.31
199805,0.97
199806,0.99
199807,1.13
199808,1.14
199809,0.90
199810,0.72
199811,0.30
199812,1.39
199901,1.18
199902,2.14
199903,0.26
199904,1.06
199905,0.72
199906,0.62
199907,0.70
199908,0.55
199909,0.61
199910,0.71
199911,0.86
199912,1.62
200001,0.71
200002,1.45
200003,1.42
200004,1.68
200005,1.01
200006,0.68
200007,0.66
200008,0.72
200009,0.47
200010,0.12
200011,-0.03
200012,0.19
200101,0.83
200102,0.50
200103,1.49
200104,1.10
200105,1.29
200106,0.73
200107,0.88
200108,1.00
200109,0.75
200110,0.69
200111,1.72
200112,0.91
200201,1.78
200202,2.28
200203,1.83
200204,0.65
200205,0.62
200206,0.91
200207,1.10
200208,0.82
200209,0.86
200210,0.32
200211,1.03
200212,0.27
200301,1.53
200302,0.93
200303,0.91
200304,0.88
200305,0.99
200306,0.60
200307,0.77
200308,1.09
200309,0.89
200310,1.32
200311,0.65
200312,1.73
200401,1.02
200402,1.61
200403,1.54
200404,0.85
200405,0.61
200406,0.54
200407,0.47
200408,0.46
200409,0.69
200410,0.76
200411,1.63
200412,0.56
200501,1.17
200502,0.65
200503,1.50
200504,1.45
200505,1.00
200506,0.99
200507,1.00
200508,0.79
200509,1.28
200510,1.31
200511,1.68
200512,1.30
200601,0.64
200602,1.52
200603,1.37
200604,0.87
200605,1.04
200606,1.26
200607,0.93
200608,0.96
200609,0.95
200610,1.09
200611,0.92
200612,1.80
200701,2.45
200702,1.20
200703,1.39
200704,1.67
200705,1.24
200706,0.94
200707,0.96
200708,1.10
200709,0.97
200710,1.10
200711,1.31
200712,1.22
200801,0.10
200802,0.72
200803,2.40
200804,1.02
200805,0.96
200806,0.95
200807,0.83
200808,0.83
200809,0.68
200810,1.29
200811,1.54
200812,0.88
200901,1.23
200902,1.21
200903,1.09
200904,1.19
200905,0.76
200906,0.82
200907,0.71
200908,0.79
200909,1.26
200910,0.86
200911,0.92
200912,0.49
201001,1.07
201002,1.18
201003,1.70
201004,1.59
201005,1.33
201006,1.33
201007,1.31
201008,1.29
201009,0.90
201010,1.29
201011,2.04
201012,0.63
201101,0.59
201102,0.67
201103,1.24
201104,1.46
201105,1.01
201106,1.20
201107,1.14
201108,1.11
201109,1.06
201110,1.38
201111,0.72
201112,1.25
201201,0.68
201202,0.56
201203,1.06
201204,1.85
201205,1.57
201206,1.53
201207,1.36
201208,1.05
201209,1.17
201210,1.02
201211,1.16
201212,0.05
201301,1.00
201302,1.34
201303,1.25
201304,0.82
201305,1.25
201306,1.10
201307,0.80
201308,0.94
201309,0.87
201310,0.97
201311,1.77
201312,1.18
201401,1.25
201402,0.29
201403,1.71
201404,1.61
201405,1.19
201406,1.06
201407,0.87
201408,1.09
201409,0.83
201410,0.89
