Southern Hemisphere Land Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
191302,-0.16
191303,-0.58
191304,-0.09
191305,-0.64
191306,-0.47
191307,0.24
191308,0.03
191309,-0.35
191310,-0.07
191311,-0.05
191312,0.11
191401,0.08
191402,0.05
191403,-0.02
191404,-0.01
191405,-0.02
191406,0.03
191407,-0.03
191408,-0.10
191409,-0.06
191410,0.17
191411,-0.08
191412,-0.04
191501,-0.24
191502,0.22
191503,-0.10
191504,0.07
191505,-0.17
191506,-0.23
191507,0.12
191508,0.03
191509,-0.13
191510,-0.19
191511,-0.13
191512,-0.26
191601,-0.21
191602,-0.17
191603,-0.36
191604,-0.35
191605,-0.32
191606,-0.62
191607,-0.70
191608,-0.47
191609,-0.11
191610,-0.32
191611,-0.68
191612,-0.69
191701,-0.61
191702,-1.05
191703,-0.88
191704,-0.82
191705,-1.29
191706,-0.72
191707,-0.38
191708,-0.76
191709,-0.46
191710,-0.56
191711,-0.82
191712,-0.51
191801,-0.94
191802,-0.89
191803,-0.80
191804,-0.60
191805,-0.68
191806,-0.35
191807,-0.56
191808,-0.37
191809,-0.18
191810,-0.19
191811,-0.01
191812,-0.15
191901,0.05
191902,-0.21
191903,-0.17
191904,0.28
191905,0.05
191906,0.02
191907,-0.21
191908,-0.49
191909,-0.51
191910,-0.19
191911,-0.17
191912,0.05
192001,-0.20
192002,-0.31
192003,-0.42
192004,-0.38
192005,-0.28
192006,-0.48
192007,-0.35
192008,-0.34
192009,-0.12
192010,-0.29
192011,0.01
192012,-0.44
192101,-0.44
192102,-0.29
192103,-0.55
192104,-0.33
192105,0.22
192106,-0.21
192107,-0.44
192108,-0.47
192109,-0.29
192110,-0.42
192111,-0.21
192112,-0.27
192201,-0.27
192202,-0.24
192203,-0.20
192204,0.05
192205,-0.38
192206,-0.45
192207,-0.32
192208,-0.43
192209,-0.13
192210,-0.38
192211,-0.07
192212,-0.30
192301,-0.38
192302,0.01
192303,0.05
192304,-0.19
192305,-0.40
192306,-0.26
192307,-0.65
192308,-0.52
192309,-0.41
192310,-0.37
192311,-0.16
192312,-0.23
192401,-0.29
192402,-0.48
192403,-0.25
192404,-0.71
192405,-0.34
192406,-0.28
192407,-0.20
192408,-0.63
192409,-0.44
192410,-0.56
192411,-0.60
192412,-0.56
192501,-0.73
192502,-0.40
192503,-0.34
192504,-0.20
192505,-0.49
192506,-0.51
192507,-0.70
192508,-0.22
192509,-0.63
192510,-0.43
192511,-0.01
192512,0.23
192601,0.08
192602,0.47
192603,0.24
192604,0.08
192605,-0.59
192606,-0.08
192607,-0.30
192608,-0.14
192609,-0.02
192610,0.06
192611,-0.02
192612,-0.23
192701,-0.05
192702,-0.11
192703,-0.12
192704,-0.40
192705,-0.63
192706,-0.33
192707,-0.38
192708,-0.29
192709,-0.10
192710,0.05
192711,0.18
192712,-0.16
192801,-0.23
192802,-0.15
192803,0.00
192804,0.25
192805,-0.44
192806,-0.33
192807,-0.24
192808,-0.24
192809,-0.04
192810,-0.03
192811,0.20
192812,-0.03
192901,-0.01
192902,0.11
192903,-0.55
192904,-0.54
192905,-0.57
192906,-0.47
192907,-0.54
192908,-0.34
192909,-0.19
192910,-0.11
192911,0.09
192912,-0.46
193001,-0.33
193002,-0.16
193003,-0.25
193004,-0.27
193005,-0.30
193006,0.07
193007,-0.08
193008,-0.37
193009,-0.32
193010,-0.24
193011,-0.01
193012,-0.11
193101,-0.14
193102,0.20
193103,0.01
193104,-0.25
193105,-0.30
193106,-0.36
193107,-0.18
193108,-0.16
193109,-0.36
193110,-0.21
193111,-0.63
193112,-0.03
193201,0.31
193202,-0.12
193203,-0.10
193204,0.06
193205,-0.30
193206,-0.29
193207,-0.07
193208,-0.34
193209,-0.13
193210,-0.15
193211,0.13
193212,-0.11
193301,-0.11
193302,-0.05
193303,0.06
193304,-0.07
193305,-0.03
193306,-0.21
193307,-0.49
193308,-0.31
193309,-0.30
193310,0.01
193311,-0.42
193312,-0.49
193401,-0.23
193402,-0.41
193403,-0.15
193404,-0.38
193405,0.09
193406,0.17
193407,0.00
193408,-0.01
193409,-0.17
193410,-0.47
193411,-0.44
193412,-0.30
193501,-0.13
193502,-0.25
193503,-0.04
193504,-0.54
193505,-0.19
193506,-0.32
193507,-0.20
193508,-0.45
193509,-0.32
193510,-0.09
193511,0.01
193512,0.00
193601,-0.12
193602,-0.11
193603,-0.13
193604,-0.21
193605,-0.03
193606,-0.23
193607,0.08
193608,0.02
193609,-0.23
