Northern Hemisphere Land and Ocean Temperature Anomalies
Units: Degrees Celsius
Base Period: 1901-2000
Missing: -999
Year,Value
188001,-0.15
188002,-0.30
188003,-0.27
188004,-0.10
188005,-0.04
188006,-0.03
188007,-0.11
188008,-0.13
188009,-0.16
188010,-0.32
188011,-0.45
188012,-0.25
188101,-0.09
188102,-0.07
188103,0.00
188104,0.04
188105,-0.03
188106,-0.19
188107,-0.07
188108,-0.04
188109,-0.25
188110,-0.53
188111,-0.52
188112,-0.16
188201,0.14
188202,-0.02
188203,-0.07
188204,-0.34
188205,-0.26
188206,-0.23
188207,-0.21
188208,-0.08
188209,-0.14
188210,-0.46
188211,-0.25
188212,-0.24
188301,-0.58
188302,-0.67
188303,-0.34
188304,-0.37
188305,-0.26
188306,-0.05
188307,-0.12
188308,-0.16
188309,-0.25
188310,-0.34
188311,-0.41
188312,-0.17
188401,-0.26
188402,-0.25
188403,-0.46
188404,-0.37
188405,-0.19
188406,-0.30
188407,-0.44
188408,-0.44
188409,-0.46
188410,-0.42
188411,-0.57
188412,-0.31
188501,-0.71
188502,-0.38
188503,-0.23
188504,-0.30
188505,-0.31
188506,-0.30
188507,-0.23
188508,-0.35
188509,-0.31
188510,-0.25
188511,-0.13
188512,0.12
188601,-0.22
188602,-0.42
188603,-0.40
188604,-0.18
188605,-0.22
188606,-0.23
188607,-0.18
188608,-0.35
188609,-0.37
188610,-0.39
188611,-0.42
188612,-0.07
188701,-0.71
188702,-0.55
188703,-0.18
188704,-0.23
188705,-0.19
188706,-0.27
188707,-0.25
188708,-0.44
188709,-0.20
188710,-0.42
188711,-0.14
188712,-0.09
188801,-0.39
188802,-0.36
188803,-0.35
188804,-0.05
188805,-0.06
188806,0.02
188807,-0.02
188808,-0.22
188809,-0.12
188810,0.04
188811,-0.17
188812,0.02
188901,-0.13
188902,0.08
188903,0.16
188904,0.14
188905,-0.07
188906,-0.05
188907,-0.13
188908,-0.12
188909,-0.33
188910,-0.43
188911,-0.57
188912,-0.28
189001,-0.47
189002,-0.47
189003,-0.39
189004,-0.25
189005,-0.47
189006,-0.35
189007,-0.29
189008,-0.44
189009,-0.48
189010,-0.36
189011,-0.65
189012,-0.47
189101,-0.60
189102,-0.82
189103,-0.23
189104,-0.32
189105,-0.26
189106,-0.20
189107,-0.10
189108,-0.17
189109,-0.07
189110,-0.39
189111,-0.62
189112,0.03
189201,-0.35
189202,-0.26
189203,-0.44
189204,-0.45
189205,-0.34
189206,-0.28
189207,-0.43
189208,-0.42
189209,-0.28
189210,-0.43
189211,-0.88
189212,-0.67
189301,-1.33
189302,-1.03
189303,-0.37
189304,-0.45
189305,-0.48
189306,-0.24
189307,-0.25
189308,-0.41
189309,-0.29
189310,-0.34
189311,-0.26
189312,-0.41
189401,-0.69
189402,-0.28
189403,-0.28
189404,-0.46
189405,-0.37
189406,-0.43
189407,-0.30
189408,-0.36
189409,-0.31
189410,-0.37
189411,-0.59
189412,-0.39
189501,-0.69
189502,-0.68
189503,-0.48
189504,-0.17
189505,-0.31
189506,-0.37
189507,-0.24
189508,-0.34
189509,-0.15
189510,-0.10
189511,-0.17
189512,-0.21
189601,-0.25
189602,-0.19
189603,-0.50
189604,-0.50
189605,-0.17
189606,-0.01
189607,-0.02
189608,-0.07
189609,-0.05
189610,-0.03
189611,-0.41
189612,-0.04
189701,-0.32
189702,-0.35
189703,-0.45
189704,0.01
189705,0.06
189706,-0.08
189707,0.06
189708,-0.04
189709,0.00
189710,-0.18
189711,-0.37
189712,-0.40
189801,0.08
189802,-0.40
189803,-0.97
189804,-0.37
189805,-0.22
189806,-0.12
189807,-0.12
189808,-0.17
189809,-0.20
189810,-0.40
189811,-0.39
189812,-0.06
189901,-0.10
189902,-0.54
189903,-0.48
189904,-0.17
189905,-0.18
189906,-0.32
189907,-0.18
189908,-0.13
189909,-0.05
189910,-0.02
189911,0.33
189912,-0.30
190001,-0.57
190002,-0.20
190003,0.00
190004,-0.09
190005,-0.01
190006,-0.06
190007,-0.10
190008,-0.04
190009,-0.03
190010,0.18
190011,-0.22
190012,0.06
190101,-0.18
190102,-0.10
190103,0.14
190104,0.09
190105,-0.12
190106,0.02
190107,0.03
190108,-0.10
190109,-0.25
190110,-0.36
190111,-0.20
190112,-0.40
190201,-0.01
190202,0.04
190203,-0.26
190204,-0.36
190205,-0.37
190206,-0.38
190207,-0.30
190208,-0.28
190209,-0.28
190210,-0.27
190211,-0.38
190212,-0.48
190301,-0.18
190302,0.03
190303,-0.25
190304,-0.38
190305,-0.47
190306,-0.46
190307,-0.46
190308,-0.52
190309,-0.47
190310,-0.54
190311,-0.52
190312,-0.50
190401,-0.71
190402,-0.60
190403,-0.66
190404,-0.55
190405,-0.42
190406,-0.45
190407,-0.61
